Etappe;Stadt;Betrieb;bett+bike;albcard.de;Unnamed: 5;Straße;Telefon;Website;Entfernung;Hm;Latitude;Longitude
3;Bad Urach;Jugendherberge Bad Urach;X;;;Seltbachstraße 9;07125 8025;jugendherberge-bad-urach.de;direkt;;48.4933849;9.3873986
3;Bad Urach;Hotel Restaurant Cafe Buck;;X;;Neue Str. 5-7;07125 94940;hotel-buck.de;direkt;;48.4929069;9.4008205
3;Bad Urach;Ferienwohnung Eisele;X;;;Breitensteinstr. 65;07125 70792;ferienwohnung-eisele.de;direkt;;48.504009;9.3808153
3;Bad Urach;Stift Urach;;;;Bismarckstraße 12;07125 94990;stifturach.de;direkt;;48.4931888;9.3975304
3;Bad Urach;Campingplatz Pfählhof;X;;X;Pfählhof 2;07125 8098;pfaehlhof.de;direkt;;48.5061323;9.4269278
3;Bad Urach;Wohnmobilstellplatz;;;X;Bäderstraße;07125 94320;badurach-tourismus.de;direkt;;48.5005204;9.3772832
4;Reutlingen;City Hotel Fortuna;;X;;Am Echazufer 22;07121 9240;fortuna-hotels.de;1,5 km;22 Hm;48.4868756;9.2183446
4;Reutlingen;Hotel Fortuna Reutlingen / Tübingen;;X;;Carl-Zeiss-Str. 75;07121 5840;fortuna-hotels.de;4,7 km;62 Hm;48.4994489;9.1502719
4;Reutlingen;Hotel & Restaurant Klostermühle;X;;;Neckartenzlinger Str. 90;07127  81170;klostermuehle-reutlingen.de;4 km;50 Hm;48.5643566;9.2253512
4;Reutlingen;Hotel Germania;;;;Unter den Linden 20;07121 31900;germania-hotel.de;3,8 km;34 Hm;48.4961431;9.2064598
4;Reutlingen;Hotel Württemberger Hof;;X;;Bahnhofstr. 12;07121 9479950;hotel-wuerttemberger-hof.de;3,8 km;34 Hm;48.496791;9.2111109
4;Reutlingen;Achalm Hotel & Restaurant;;;;Gewand 2;07121 4820;achalm.com;3,1 km;111 Hm;48.49143;9.24014
4;Reutlingen-Gönningen;Wanderheim Roßberghaus;;;;Roßberg;07072 7007;wanderheim-rossberg.de;1,8 km;192 Hm;48.4193523;9.1513015
4;Reutlingen;Umweltbildungszentrum Listhof;;;;Friedrich-List-Hof 1;07121 270392;listhof-reutlingen.de;direkt;;48.4186592;9.2544391
4;Pfullingen;Hotel Restaurant Klostergarten;;;;Klosterstraße 30;07121 9941-0;klostergarten-pfullingen.de;direkt;;48.46287;9.22686
4;Gomaringen;Hotel Arcis;;X;;Bahnhofstraße 10;07072 918-0;hotel-arcis.de;1,3 km;20 Hm;48.4546977;9.0966409
4;Gomaringen;Gästehaus Brigitte;;;;Hohenstaufenstraße 5;07072 920025;gaestehaus-brigitte.de;direkt;;48.4532941;9.1026102
4;Mössingen;Fischers Hotel Garni Brauhaus;;X;;Auf der Lehr 30;07473 9544-0;hotel-garni-moessingen.de;4,1 km;88 Hm;48.4088482;9.0656337
4;Mössingen-Öschingen;Ferienwohnung Haus Bolbergblick;;;;Panoramastr. 1;07473 9509946;moessingen.de;1,1 km;25 Hm;48.4133851;9.1247897
4;Mössingen-Öschingen;Ferienappartment Lehner;;;;Panoramastraße 79;07473  25387;moessingen.de/ferienwohnung;0,1 km;3 Hm;48.4198795;9.1156948
4;Mössingen-Öschingen;Ferienhaus Lotte;;;;Gartenstraße 50;0174 9224616;ferienwohnung-oeschingen.de;0,6 km;10 Hm;48.4145776;9.1182401
4;Mössingen-Öschingen;Villa Lou;;;;Gustav-Schöller-Straße 11;07473  270810;villa-lou.de;0,5 km;16 Hm;48.4154161;9.1143702
4;Lichtenstein;Forellenhof Rössle I Hotel & Restaurant;X;X;;Heerstraße 20;07129 92970;forellenhof-roessle.de;4,0 km;245 Hm;48.4111146;9.2606196
4;Trochtelfingen;Hotel-Restaurant Rössle;X;;;Marktstraße 48;07124 9250;hotel-restaurant-roessle.de;1,1 km;56 Hm;48.3086441;9.2460837
4;Burladingen / Hörschwag;Ferienwohnung Schwäbische Alb;;X;;Schützenstraße 7;0152 29590070;schwaebische-alb-ferienwohnung.de;2,2 km;60 Hm;48.3194323;9.1943331
4;Sonnenbühl-Erpfingen;Romantik Hotel I Restaurant Hirsch;;X;;Im Dorf 12;07128 92910;restaurant-hotel-hirsch.de;direkt;;48.3506033;9.194286
